record_id,current_gpa,biological_sex,student_population,gpa_quality_flag
119,3.7,Female,Freshman,valid
120,3.8,Female,Freshman,valid
121,3.4,Female,Freshman,valid
122,3.67,Female,Freshman,valid
123,2.9,Female,Freshman,valid
124,2.8,Female,Freshman,valid
125,0.57,Female,Freshman,valid
126,0.57,Female,Freshman,valid
127,2.5,Female,Freshman,valid
128,3.31,Female,Freshman,valid
129,3.67,Female,Freshman,valid
130,3.5,Female,Freshman,valid
131,0.4,Female,Freshman,valid
132,4,Female,Freshman,valid
133,1.9,Female,Freshman,valid
134,3.7,Female,Freshman,valid
135,3.5,Female,Freshman,valid
136,3.5,Female,Freshman,valid
137,2,Female,Freshman,valid
138,4,Female,Freshman,valid
139,4,Female,Freshman,valid
140,3.2,Female,Freshman,valid
141,3.6,Female,Freshman,valid
142,4,Female,Freshman,valid
143,4,Female,Freshman,valid
144,3.5,Female,Freshman,valid
145,3.9,Female,Freshman,valid
146,3.8,Female,Freshman,valid
147,4,Female,Freshman,valid
148,4,Female,Freshman,valid
149,4,Female,Freshman,valid
150,4,Female,Freshman,valid
151,3.7,Female,Freshman,valid
152,3.674,Female,Junior,valid
153,3.76,Female,Junior,valid
154,3.927,Female,Junior,valid
155,3.1,Female,Junior,valid
156,3.36,Female,Junior,valid
157,3.4,Female,Junior,valid
158,3.64,Female,Junior,valid
159,2.5,Female,Junior,valid
160,2.5,Female,Junior,valid
161,3.4,Female,Junior,valid
162,2.9,Female,Junior,valid
163,3,Female,Junior,valid
164,3.5,Female,Junior,valid
165,2.9,Female,Junior,valid
166,3.902,Female,Junior,valid
167,3.4,Female,Junior,valid
168,3.97,Female,Junior,valid
169,3.7,Female,Junior,valid
170,3.4,Female,Junior,valid
171,3.81,Female,Junior,valid
172,3.44,Female,Junior,valid
173,2.9,Female,Junior,valid
174,3.2,Female,Junior,valid
175,3.5,Female,Junior,valid
176,3.4,Female,Junior,valid
177,3.33,Female,Junior,valid
178,3.64,Female,Junior,valid
179,3.52,Female,Junior,valid
180,3.4,Female,Junior,valid
181,3.5,Female,Junior,valid
182,4,Female,Junior,valid
183,3.2,Female,Junior,valid
184,3.4,Female,Junior,valid
185,3.29,Female,Junior,valid
186,3,Female,Junior,valid
187,3.36,Female,Junior,valid
188,2.4,Female,Junior,valid
189,3.2,Female,Junior,valid
190,3.83,Female,Junior,valid
191,2.9,Female,Junior,valid
192,2.24,Female,Junior,valid
193,3.47,Female,Junior,valid
194,3.5,Female,Junior,valid
195,3.6,Female,Junior,valid
196,3.8,Female,Junior,valid
197,2.5,Female,Junior,valid
198,3.75,Female,Junior,valid
199,3.6,Female,Junior,valid
200,3.5,Female,Junior,valid
201,3.6,Female,Junior,valid
202,3.3,Female,Junior,valid
203,3.51,Female,Junior,valid
204,3.95,Female,Junior,valid
205,3.5,Female,Junior,valid
206,3.5,Female,Junior,valid
207,3.2,Female,Junior,valid
208,3.75,Female,Junior,valid
209,3.53,Female,Junior,valid
210,3.6,Female,Junior,valid
211,3.8,Female,Junior,valid
212,3.78,Female,Junior,valid
213,3.5,Female,Junior,valid
214,2.9,Female,Junior,valid
215,3.85,Female,Junior,valid
216,3.12,Female,Junior,valid
217,3.22,Female,Junior,valid
218,3.45,Female,Junior,valid
219,3,Female,Junior,valid
220,2.9,Female,Junior,valid
221,3.6,Female,Junior,valid
222,3.4,Female,Junior,valid
223,3.6,Female,Junior,valid
224,3.72,Female,Junior,valid
225,3.56,Female,Junior,valid
226,3.3,Female,Junior,valid
227,3.7,Female,Junior,valid
228,2.974,Female,Junior,valid
229,3.49,Female,Junior,valid
230,3.8,Female,Junior,valid
231,3.1,Female,Junior,valid
232,2.7,Female,Junior,valid
233,3.8,Female,Junior,valid
234,3.3,Female,Junior,valid
235,3.33,Female,Junior,valid
236,2.87,Female,Junior,valid
237,3.83,Female,Junior,valid
238,2.28,Female,Junior,valid
239,2.75,Female,Junior,valid
240,3.01,Female,Junior,valid
241,3.5,Female,Junior,valid
242,3.5,Female,Junior,valid
243,3.87,Female,Junior,valid
244,3.04,Female,Junior,valid
245,3.44,Female,Junior,valid
246,3,Female,Junior,valid
247,2.5,Female,Junior,valid
248,3.1,Female,Junior,valid
249,3.3,Female,Junior,valid
250,3.46,Female,Junior,valid
251,3.1,Female,Junior,valid
252,3.23,Female,Junior,valid
253,3.87,Female,Junior,valid
254,3.26,Female,Junior,valid
255,3.5,Female,Junior,valid
256,3,Female,Junior,valid
257,4,Female,Junior,valid
258,3.04,Female,Junior,valid
259,3.7,Female,Junior,valid
260,3.9,Female,Junior,valid
261,3.94,Female,Junior,valid
262,3.4,Female,Junior,valid
263,3.49,Female,Junior,valid
264,3.11,Female,Junior,valid
265,3.2,Female,Junior,valid
266,3.49,Female,Junior,valid
267,3.01,Female,Junior,valid
268,3.45,Female,Junior,valid
269,2.74,Female,Junior,valid
270,3.5,Female,Junior,valid
271,3.5,Female,Junior,valid
272,3.927,Female,Junior,valid
273,3.61,Female,Junior,valid
274,3.84,Female,Junior,valid
275,3.15,Female,Junior,valid
276,3.81,Female,Junior,valid
277,3.07,Female,Junior,valid
278,3.7,Female,Junior,valid
279,2.5,Female,Junior,valid
280,3.8,Female,Senior,valid
281,2.9,Female,Senior,valid
282,3.43,Female,Senior,valid
283,3.4,Female,Senior,valid
284,3.5,Female,Senior,valid
285,3.4,Female,Senior,valid
286,2.6,Female,Senior,valid
287,3.6,Female,Senior,valid
288,3.96,Female,Senior,valid
289,3.97,Female,Senior,valid
290,3.1,Female,Senior,valid
291,4,Female,Senior,valid
292,3.95,Female,Senior,valid
293,4,Female,Senior,valid
294,2.99,Female,Senior,valid
295,4,Female,Senior,valid
296,3,Female,Senior,valid
297,3.4,Female,Senior,valid
298,3.9,Female,Senior,valid
299,3.5,Female,Senior,valid
300,3.5,Female,Senior,valid
301,3.92,Female,Senior,valid
302,3.57,Female,Senior,valid
303,3.8,Female,Senior,valid
304,2.51,Female,Senior,valid
305,3.2,Female,Senior,valid
306,3.6,Female,Senior,valid
307,3.61,Female,Senior,valid
308,3.86,Female,Senior,valid
309,3.84,Female,Senior,valid
310,3.5,Female,Senior,valid
311,3.92,Female,Senior,valid
312,3.8,Female,Senior,valid
313,3.7,Female,Senior,valid
314,3.3,Female,Senior,valid
315,3.4,Female,Senior,valid
316,3.2,Female,Senior,valid
317,2.75,Female,Senior,valid
318,3.45,Female,Senior,valid
319,2.49,Female,Senior,valid
320,3.3,Female,Senior,valid
321,4.71,Female,Senior,above_expected_range
322,3.5,Female,Senior,valid
323,3.76,Female,Senior,valid
324,3.94,Female,Senior,valid
325,3.92,Female,Senior,valid
326,3.86,Female,Senior,valid
327,3.6,Female,Senior,valid
328,3.34,Female,Senior,valid
329,3.56,Female,Senior,valid
330,2.9,Female,Senior,valid
331,3.5,Female,Senior,valid
332,2.7,Female,Senior,valid
333,2.9,Female,Senior,valid
334,2.5,Female,Senior,valid
335,3.1,Female,Senior,valid
336,3.67,Female,Senior,valid
337,4,Female,Senior,valid
338,3.2,Female,Senior,valid
339,3.1,Female,Senior,valid
340,2.69,Female,Senior,valid
341,3.7,Female,Sophomore,valid
342,3.6,Female,Sophomore,valid
343,3.6,Female,Sophomore,valid
344,2.7,Female,Sophomore,valid
345,4,Female,Sophomore,valid
346,3.5,Female,Sophomore,valid
347,3.6,Female,Sophomore,valid
348,3.1,Female,Sophomore,valid
349,4,Female,Sophomore,valid
350,2.9,Female,Sophomore,valid
351,3.721,Female,Sophomore,valid
352,3.45,Female,Sophomore,valid
353,3.6,Female,Sophomore,valid
354,3.2,Female,Sophomore,valid
355,3,Female,Sophomore,valid
356,3.61,Female,Sophomore,valid
357,4,Female,Sophomore,valid
358,3.4,Female,Sophomore,valid
359,2.6,Female,Sophomore,valid
360,3.36,Female,Sophomore,valid
361,3.41,Female,Sophomore,valid
362,3.85,Female,Sophomore,valid
363,3.2,Female,Sophomore,valid
364,3.78,Female,Sophomore,valid
365,3.9,Female,Sophomore,valid
366,3.25,Female,Sophomore,valid
367,3.8,Female,Sophomore,valid
368,3.5,Female,Sophomore,valid
369,3.8,Female,Sophomore,valid
370,3.3,Female,Sophomore,valid
371,3.6,Female,Sophomore,valid
372,3.2,Female,Sophomore,valid
373,3.6,Female,Sophomore,valid
374,3.78,Female,Sophomore,valid
375,2.6,Female,Sophomore,valid
376,3.8,Female,Sophomore,valid
377,3.9,Female,Sophomore,valid
378,3.11,Female,Sophomore,valid
379,3.83,Female,Sophomore,valid
380,3.4,Female,Sophomore,valid
381,2.52,Female,Sophomore,valid
382,3.78,Female,Sophomore,valid
383,3.06,Female,Sophomore,valid
384,3.893,Female,Sophomore,valid
385,3.2,Female,Sophomore,valid
386,3.3,Female,Sophomore,valid
387,3.9,Female,Sophomore,valid
388,4,Female,Sophomore,valid
389,3.2,Female,Sophomore,valid
390,3.78,Female,Sophomore,valid
391,2.8,Female,Sophomore,valid
392,2.89,Female,Sophomore,valid
393,2,Female,Sophomore,valid
394,3.31,Female,Sophomore,valid
395,4,Female,Sophomore,valid
396,3.4,Female,Sophomore,valid
397,4,Female,Sophomore,valid
398,3.3,Female,Sophomore,valid
399,2.7,Female,Sophomore,valid
400,3.8,Female,Sophomore,valid
401,3.25,Female,Sophomore,valid
402,3.5,Female,Sophomore,valid
403,2.9,Female,Sophomore,valid
404,3.24,Female,Sophomore,valid
405,3.7,Female,Sophomore,valid
406,3.47,Female,Sophomore,valid
407,3,Female,Sophomore,valid
408,3,Female,Sophomore,valid
409,3.55,Female,Sophomore,valid
410,3.1,Female,Sophomore,valid
411,3.532,Female,Sophomore,valid
412,3.6,Female,Sophomore,valid
413,3.5,Female,Sophomore,valid
414,3.5,Female,Sophomore,valid
415,3.85,Female,Sophomore,valid
416,3.6,Female,Sophomore,valid
417,3.5,Female,Sophomore,valid
418,2.78,Female,Sophomore,valid
419,3.89,Female,Sophomore,valid
420,3.2,Female,Sophomore,valid
421,4,Female,Sophomore,valid
422,3.11,Female,Sophomore,valid
423,3.5,Female,Sophomore,valid
424,3.7,Female,Sophomore,valid
425,3.1,Female,Sophomore,valid
426,3.16,Female,Sophomore,valid
427,3.24,Female,Sophomore,valid
428,3.37,Female,Sophomore,valid
429,3.4,Female,Sophomore,valid
430,3.7,Female,Sophomore,valid
431,3.45,Female,Sophomore,valid
432,3.6,Female,Sophomore,valid
433,3.9,Female,Sophomore,valid
434,4,Female,Sophomore,valid
435,4,Female,Sophomore,valid
436,3,Female,Sophomore,valid
437,3.1,Female,Sophomore,valid
438,3.56,Female,Sophomore,valid
439,3.97,Female,Sophomore,valid
440,4,Female,Sophomore,valid
441,3.2,Female,Sophomore,valid
442,3.4,Female,Sophomore,valid
443,2.48,Female,Sophomore,valid
444,3.01,Female,Sophomore,valid
445,3.3,Female,Sophomore,valid
446,3.53,Female,Sophomore,valid
447,3.5,Female,Sophomore,valid
448,2.9,Female,Sophomore,valid
449,3.8,Female,Sophomore,valid
450,2.48,Female,Sophomore,valid
451,2.9,Female,Sophomore,valid
452,3.91,Female,Sophomore,valid
453,4,Female,Sophomore,valid
454,2.3,Female,Sophomore,valid
455,3.8,Female,Sophomore,valid
456,2.7,Female,Sophomore,valid
457,3.5,Female,Sophomore,valid
458,3.8,Female,Sophomore,valid
459,3.75,Female,Sophomore,valid
460,3.8,Female,Sophomore,valid
461,1.9,Female,Sophomore,valid
462,3,Female,Sophomore,valid
463,3.8,Female,Sophomore,valid
464,2.8,Female,Sophomore,valid
465,3.7,Female,Sophomore,valid
466,3,Female,Sophomore,valid
467,3.477,Female,Sophomore,valid
468,3.46,Female,Sophomore,valid
469,3.77,Female,Sophomore,valid
470,3.5,Female,Sophomore,valid
471,3.5,Female,Sophomore,valid
472,2.8,Female,Sophomore,valid
473,4,Female,Sophomore,valid
474,4,Female,Sophomore,valid
475,3.78,Female,Sophomore,valid
476,2.76,Female,Sophomore,valid
477,3.6,Female,Sophomore,valid
478,3.4,Female,Sophomore,valid
479,2.05,Female,Sophomore,valid
480,3.235,Female,Sophomore,valid
481,3.6,Female,Sophomore,valid
482,2.9,Female,Sophomore,valid
483,3.94,Male,Freshman,valid
484,3,Male,Freshman,valid
485,3.47,Male,Freshman,valid
486,3.1,Male,Freshman,valid
487,0.94,Male,Freshman,valid
488,3.2,Male,Freshman,valid
489,3.1,Male,Freshman,valid
490,3.7,Male,Freshman,valid
491,3,Male,Freshman,valid
492,3.4,Male,Freshman,valid
493,3.7,Male,Freshman,valid
494,3,Male,Freshman,valid
495,4,Male,Freshman,valid
496,4,Male,Freshman,valid
497,4,Male,Freshman,valid
498,4,Male,Freshman,valid
499,3.89,Male,Freshman,valid
500,3,Male,Freshman,valid
501,3.8,Male,Freshman,valid
502,3.7,Male,Freshman,valid
503,3.75,Male,Freshman,valid
504,3,Male,Freshman,valid
505,3,Male,Freshman,valid
506,3.4,Male,Freshman,valid
507,4,Male,Freshman,valid
508,3.3,Male,Freshman,valid
509,3.4,Male,Freshman,valid
510,3,Male,Freshman,valid
511,4,Male,Freshman,valid
512,4,Male,Freshman,valid
513,3.9,Male,Freshman,valid
514,3.15,Male,Freshman,valid
515,3.23,Male,Freshman,valid
516,3.5,Male,Freshman,valid
517,2.67,Male,Freshman,valid
518,3.575,Male,Freshman,valid
519,3.5,Male,Freshman,valid
520,3.67,Male,Freshman,valid
521,3.7,Male,Freshman,valid
522,3.51,Male,Junior,valid
523,2.8,Male,Junior,valid
524,3.7,Male,Junior,valid
525,3.3,Male,Junior,valid
526,3.1,Male,Junior,valid
527,3.3,Male,Junior,valid
528,2.8,Male,Junior,valid
529,3.65,Male,Junior,valid
530,3.4,Male,Junior,valid
531,2.9,Male,Junior,valid
532,3.72,Male,Junior,valid
533,3,Male,Junior,valid
534,3,Male,Junior,valid
535,3,Male,Junior,valid
536,3.2,Male,Junior,valid
537,3.3,Male,Junior,valid
538,3.09,Male,Junior,valid
539,2.9,Male,Junior,valid
540,3.12,Male,Junior,valid
541,3.84,Male,Junior,valid
542,2.92,Male,Junior,valid
543,3.6,Male,Junior,valid
544,3.26,Male,Junior,valid
545,4,Male,Junior,valid
546,3.487,Male,Junior,valid
547,2.7,Male,Junior,valid
548,3.2,Male,Junior,valid
549,3.46,Male,Junior,valid
550,3.94,Male,Junior,valid
551,2.9,Male,Junior,valid
552,3.8,Male,Junior,valid
553,3.94,Male,Junior,valid
554,3.24,Male,Junior,valid
555,3.9,Male,Junior,valid
556,3.72,Male,Junior,valid
557,4,Male,Senior,valid
558,3,Male,Senior,valid
559,3.5,Male,Senior,valid
560,3.54,Male,Senior,valid
561,2.9,Male,Senior,valid
562,3.45,Male,Senior,valid
563,3.56,Male,Senior,valid
564,3.3,Male,Senior,valid
565,3.5,Male,Senior,valid
566,3.1,Male,Senior,valid
567,3.75,Male,Senior,valid
568,2.8,Male,Senior,valid
569,3.49,Male,Senior,valid
570,3.82,Male,Senior,valid
571,3.7,Male,Senior,valid
572,3.82,Male,Senior,valid
573,3.2,Male,Senior,valid
574,3,Male,Senior,valid
575,4,Male,Senior,valid
576,3.98,Male,Sophomore,valid
577,2.7,Male,Sophomore,valid
578,2.4,Male,Sophomore,valid
579,3.75,Male,Sophomore,valid
580,2.6,Male,Sophomore,valid
581,3.73,Male,Sophomore,valid
582,3.76,Male,Sophomore,valid
583,2.91,Male,Sophomore,valid
584,3.67,Male,Sophomore,valid
585,3.668,Male,Sophomore,valid
586,3.83,Male,Sophomore,valid
587,2.6,Male,Sophomore,valid
588,2.68,Male,Sophomore,valid
589,2.7,Male,Sophomore,valid
590,2.54,Male,Sophomore,valid
591,3.05,Male,Sophomore,valid
592,3.4,Male,Sophomore,valid
593,3.75,Male,Sophomore,valid
594,3.5,Male,Sophomore,valid
595,3.9,Male,Sophomore,valid
596,3.76,Male,Sophomore,valid
597,2.7,Male,Sophomore,valid
598,3.5,Male,Sophomore,valid
599,2.68,Male,Sophomore,valid
600,3.9,Male,Sophomore,valid
601,2.8,Male,Sophomore,valid
602,2.8,Male,Sophomore,valid
603,3.09,Male,Sophomore,valid
604,2.8,Male,Sophomore,valid
605,2.5,Male,Sophomore,valid
606,2.45,Male,Sophomore,valid
607,2.79,Male,Sophomore,valid
608,3,Male,Sophomore,valid
609,3.94,Male,Sophomore,valid
610,3.76,Male,Sophomore,valid
611,3.63,Male,Sophomore,valid
612,3.5,Male,Sophomore,valid
613,2.89,Male,Sophomore,valid
614,3.23,Male,Sophomore,valid
