record_id,current_gpa,vegetables,vegetables_2,fruit,fruit_juice,green_salad,milk,breakfast,soda,diet_soda,energy_drinks,sports_drinks,fast_food,gpa_quality_flag
20,3.15,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,0 glasses (not at all),2 days,7 to 10 times,0 times (not at all),0 times (not at all),1 to 3 times,11 times or more,valid
21,3.1,0 times (not at all),0 times (not at all),0 times (not at all),7 to 10 times,0 times (not at all),0 glasses (not at all),5 days,4 to 6 times,0 times (not at all),11 times or more,0 times (not at all),11 times or more,valid
22,3,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,0 times (not at all),0 glasses (not at all),1 day,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,7 to 10 times,valid
23,3,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,0 times (not at all),0 glasses (not at all),1 day,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,7 to 10 times,valid
24,3.84,0 times (not at all),0 times (not at all),4 to 6 times,1 to 3 times,0 times (not at all),4 to 6 glasses,7 days (everyday),1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
25,2.92,0 times (not at all),0 times (not at all),4 to 6 times,1 to 3 times,0 times (not at all),0 glasses (not at all),0 days (not at all),7 to 10 times,0 times (not at all),1 to 3 times,4 to 6 times,0 times (not at all),valid
26,2.7,0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),3 days,4 to 6 times,4 to 6 times,1 to 3 times,0 times (not at all),7 to 10 times,valid
27,3.3,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,0 times (not at all),0 glasses (not at all),5 days,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,11 times or more,valid
28,3.82,0 times (not at all),0 times (not at all),7 to 10 times,1 to 3 times,0 times (not at all),7 to 10 glasses,7 days (everyday),0 times (not at all),1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 times,valid
29,3.98,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,0 times (not at all),4 to 6 glasses,7 days (everyday),7 to 10 times,11 times or more,0 times (not at all),0 times (not at all),4 to 6 times,valid
30,2.6,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 glasses (not at all),4 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
31,3.83,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 glasses (not at all),1 day,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
32,3.75,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 glasses,3 days,11 times or more,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
33,2.45,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 glasses,1 day,4 to 6 times,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
34,3.94,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),0 days (not at all),7 to 10 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
35,3.4,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),0 glasses (not at all),0 days (not at all),1 to 3 times,0 times (not at all),0 times (not at all),4 to 6 times,1 to 3 times,valid
36,4,1 to 3 times,1 to 3 times,7 to 10 times,1 to 3 times,0 times (not at all),1 to 3 glasses,7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
37,3.8,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),4 days,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
38,2.8,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 times,0 glasses (not at all),3 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
39,3.3,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 glasses,5 days,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
40,3.95,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,0 times (not at all),7 to 10 glasses,7 days (everyday),1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
41,3.7,1 to 3 times,1 to 3 times,7 to 10 times,0 times (not at all),0 times (not at all),0 glasses (not at all),5 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
42,3.2,1 to 3 times,1 to 3 times,4 to 6 times,0 times (not at all),0 times (not at all),0 glasses (not at all),5 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
43,3.8,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 times,0 glasses (not at all),6 days,0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),1 to 3 times,valid
44,3.9,1 to 3 times,1 to 3 times,4 to 6 times,0 times (not at all),1 to 3 times,1 to 3 glasses,5 days,0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),1 to 3 times,valid
45,3.75,1 to 3 times,1 to 3 times,7 to 10 times,0 times (not at all),11 times or more,1 to 3 glasses,7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,0 times (not at all),valid
46,3.9,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 times,1 to 3 glasses,5 days,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
47,3.7,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,0 times (not at all),1 to 3 glasses,1 day,7 to 10 times,0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
48,3.266,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 glasses,4 days,11 times or more,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
49,3.6,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 glasses,2 days,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
50,3.5,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 times,0 glasses (not at all),7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
51,3.75,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 glasses,3 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
52,3.3,1 to 3 times,1 to 3 times,7 to 10 times,0 times (not at all),1 to 3 times,1 to 3 glasses,7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
53,2.1,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),4 to 6 glasses,3 days,4 to 6 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
54,3.6,1 to 3 times,1 to 3 times,1 to 3 times,7 to 10 times,1 to 3 times,0 glasses (not at all),1 day,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,4 to 6 times,valid
55,3.2,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 times,1 to 3 glasses,6 days,4 to 6 times,0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
56,3.83,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 times,1 to 3 glasses,7 days (everyday),4 to 6 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
57,2.7,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),2 days,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
58,3.5,1 to 3 times,1 to 3 times,4 to 6 times,0 times (not at all),1 to 3 times,1 to 3 glasses,7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
59,3.5,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 glasses,1 day,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
60,4,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 glasses,5 days,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 times,valid
61,4,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 times,1 to 3 glasses,4 days,0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,1 to 3 times,valid
62,4,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 glasses,4 days,0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,1 to 3 times,valid
63,2.75,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 glasses,3 days,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
64,3.1,1 to 3 times,1 to 3 times,0 times (not at all),4 to 6 times,1 to 3 times,0 glasses (not at all),2 days,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
65,3.75,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 times,1 to 3 glasses,7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),valid
66,4,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),4 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
67,3.85,1 to 3 times,1 to 3 times,7 to 10 times,1 to 3 times,4 to 6 times,1 to 3 glasses,1 day,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),4 to 6 times,valid
68,3.8,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),7 to 10 glasses,7 days (everyday),1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),valid
69,2.5,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,0 glasses (not at all),3 days,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),valid
70,3.8,1 to 3 times,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,0 glasses (not at all),0 days (not at all),4 to 6 times,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
71,2.7,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 times,1 to 3 glasses,0 days (not at all),4 to 6 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,valid
72,4,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),3 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
73,4,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,0 glasses (not at all),7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
74,3.5,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 glasses,3 days,1 to 3 times,0 times (not at all),0 times (not at all),4 to 6 times,1 to 3 times,valid
75,4,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,4 to 6 glasses,7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
76,3,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,4 to 6 glasses,7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
77,3,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),4 to 6 glasses,2 days,7 to 10 times,0 times (not at all),0 times (not at all),1 to 3 times,4 to 6 times,valid
78,3,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,0 glasses (not at all),1 day,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
79,3.8,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 times,0 glasses (not at all),7 days (everyday),1 to 3 times,1 to 3 times,0 times (not at all),11 times or more,1 to 3 times,valid
80,4,1 to 3 times,1 to 3 times,4 to 6 times,4 to 6 times,1 to 3 times,0 glasses (not at all),5 days,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
81,3.8,1 to 3 times,1 to 3 times,7 to 10 times,0 times (not at all),0 times (not at all),0 glasses (not at all),7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
82,2.8,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),4 to 6 times,1 to 3 glasses,5 days,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
83,3.82,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,0 glasses (not at all),5 days,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),valid
84,3.7,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,0 glasses (not at all),7 days (everyday),1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
85,2.9,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,0 glasses (not at all),3 days,0 times (not at all),1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,valid
86,0.57,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 glasses (not at all),2 days,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
87,3.67,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 glasses (not at all),1 day,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
88,3.5,1 to 3 times,1 to 3 times,4 to 6 times,0 times (not at all),0 times (not at all),7 to 10 glasses,7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),valid
89,2,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 times,1 to 3 glasses,1 day,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
90,3.2,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 glasses,3 days,0 times (not at all),1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 times,valid
91,3.6,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,7 to 10 glasses,3 days,7 to 10 times,0 times (not at all),4 to 6 times,0 times (not at all),4 to 6 times,valid
92,4,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 glasses,7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
93,3.9,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,0 glasses (not at all),2 days,0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),4 to 6 times,valid
94,3.8,1 to 3 times,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,0 glasses (not at all),3 days,4 to 6 times,4 to 6 times,0 times (not at all),1 to 3 times,1 to 3 times,valid
95,4,1 to 3 times,1 to 3 times,4 to 6 times,0 times (not at all),1 to 3 times,0 glasses (not at all),5 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
96,3.7,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,0 glasses (not at all),0 days (not at all),7 to 10 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
97,3.674,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,0 times (not at all),1 to 3 glasses,2 days,11 times or more,0 times (not at all),0 times (not at all),1 to 3 times,4 to 6 times,valid
98,2.5,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,0 glasses (not at all),0 days (not at all),4 to 6 times,4 to 6 times,0 times (not at all),0 times (not at all),7 to 10 times,valid
99,3.4,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 times,0 glasses (not at all),3 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
100,3.4,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),7 days (everyday),4 to 6 times,4 to 6 times,0 times (not at all),0 times (not at all),4 to 6 times,valid
101,3.4,1 to 3 times,1 to 3 times,7 to 10 times,0 times (not at all),1 to 3 times,0 glasses (not at all),6 days,4 to 6 times,4 to 6 times,0 times (not at all),0 times (not at all),1 to 3 times,valid
102,3.44,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,0 glasses (not at all),7 days (everyday),1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,valid
103,3.5,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 glasses,2 days,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),11 times or more,valid
104,3.33,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 glasses,7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,1 to 3 times,valid
105,3.4,1 to 3 times,1 to 3 times,4 to 6 times,0 times (not at all),0 times (not at all),1 to 3 glasses,5 days,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
106,4,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 glasses,6 days,0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,0 times (not at all),valid
107,3.29,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),0 glasses (not at all),2 days,1 to 3 times,0 times (not at all),1 to 3 times,0 times (not at all),4 to 6 times,valid
108,3.36,1 to 3 times,1 to 3 times,7 to 10 times,1 to 3 times,1 to 3 times,1 to 3 glasses,3 days,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
109,2.4,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 glasses,0 days (not at all),1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
110,3.2,1 to 3 times,1 to 3 times,4 to 6 times,0 times (not at all),0 times (not at all),0 glasses (not at all),4 days,7 to 10 times,7 to 10 times,0 times (not at all),0 times (not at all),7 to 10 times,valid
111,2.24,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,0 glasses (not at all),3 days,0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),4 to 6 times,valid
112,3.47,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 times,0 glasses (not at all),2 days,1 to 3 times,0 times (not at all),1 to 3 times,0 times (not at all),4 to 6 times,valid
113,3.8,1 to 3 times,1 to 3 times,1 to 3 times,11 times or more,0 times (not at all),0 glasses (not at all),0 days (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
114,3.6,1 to 3 times,1 to 3 times,4 to 6 times,4 to 6 times,1 to 3 times,1 to 3 glasses,7 days (everyday),1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
115,3.5,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),0 glasses (not at all),7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
116,3.51,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),4 days,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
117,3.5,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 glasses,1 day,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
118,3.5,1 to 3 times,1 to 3 times,4 to 6 times,0 times (not at all),1 to 3 times,1 to 3 glasses,7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
119,3.2,1 to 3 times,1 to 3 times,4 to 6 times,0 times (not at all),1 to 3 times,1 to 3 glasses,7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
120,3.6,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,4 to 6 glasses,0 days (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
121,2.9,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),2 days,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
122,3.12,1 to 3 times,1 to 3 times,4 to 6 times,4 to 6 times,7 to 10 times,1 to 3 glasses,7 days (everyday),1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
123,3.3,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 glasses,0 days (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
124,3.49,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
125,3.8,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,0 glasses (not at all),5 days,0 times (not at all),0 times (not at all),0 times (not at all),7 to 10 times,1 to 3 times,valid
126,3.3,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 times,1 to 3 glasses,3 days,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
127,2.87,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 times,1 to 3 glasses,7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
128,3.83,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),0 glasses (not at all),4 days,7 to 10 times,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
129,3.87,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 glasses (not at all),7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
130,3,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,0 times (not at all),0 glasses (not at all),3 days,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
131,3.3,1 to 3 times,1 to 3 times,4 to 6 times,4 to 6 times,1 to 3 times,0 glasses (not at all),7 days (everyday),1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
132,3.87,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 glasses,4 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
133,3,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,0 glasses (not at all),7 days (everyday),1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
